mes,freq
2004-01,84
2004-02,100
2004-03,93
2004-04,95
2004-05,87
2004-06,89
2004-07,87
2004-08,85
2004-09,89
2004-10,78
2004-11,81
2004-12,71
2005-01,82
2005-02,98
2005-03,82
2005-04,77
2005-05,81
2005-06,75
2005-07,76
2005-08,90
2005-09,71
2005-10,72
2005-11,73
2005-12,72
2006-01,68
2006-02,90
2006-03,72
2006-04,64
2006-05,66
2006-06,68
2006-07,62
2006-08,68
2006-09,53
2006-10,51
2006-11,59
2006-12,50
2007-01,54
2007-02,68
2007-03,60
2007-04,50
2007-05,58
2007-06,57
2007-07,51
2007-08,59
2007-09,50
2007-10,50
2007-11,48
2007-12,43
2008-01,45
2008-02,63
2008-03,54
2008-04,48
2008-05,47
2008-06,50
2008-07,51
2008-08,58
2008-09,49
2008-10,46
2008-11,47
2008-12,42
2009-01,45
2009-02,61
2009-03,55
2009-04,45
2009-05,49
2009-06,50
2009-07,46
2009-08,51
2009-09,53
2009-10,48
2009-11,53
2009-12,42
2010-01,42
2010-02,56
2010-03,53
2010-04,48
2010-05,46
2010-06,44
2010-07,40
2010-08,51
2010-09,45
2010-10,40
2010-11,43
2010-12,35
2011-01,32
2011-02,45
2011-03,38
2011-04,33
2011-05,38
2011-06,34
2011-07,32
2011-08,39
2011-09,34
2011-10,33
2011-11,47
2011-12,29
2012-01,33
2012-02,40
2012-03,38
2012-04,31
2012-05,31
2012-06,31
2012-07,29
2012-08,36
2012-09,33
2012-10,30
2012-11,30
2012-12,26
2013-01,27
2013-02,34
2013-03,31
2013-04,31
2013-05,28
2013-06,31
2013-07,28
2013-08,35
2013-09,30
2013-10,30
2013-11,29
2013-12,24
2014-01,25
2014-02,33
2014-03,27
2014-04,26
2014-05,27
2014-06,22
2014-07,22
2014-08,29
2014-09,29
2014-10,25
2014-11,28
2014-12,22
2015-01,25
2015-02,30
2015-03,30
2015-04,25
2015-05,26
2015-06,27
2015-07,23
2015-08,28
2015-09,26
2015-10,27
2015-11,25
2015-12,21
2016-01,23
2016-02,28
2016-03,25
2016-04,22
2016-05,24
2016-06,23
2016-07,20
2016-08,23
2016-09,22
2016-10,22
2016-11,24
2016-12,18
2017-01,23
2017-02,27
2017-03,26
2017-04,22
2017-05,23
2017-06,20
2017-07,21
2017-08,24
2017-09,21
2017-10,21
2017-11,21
2017-12,17
2018-01,20
2018-02,24
2018-03,24
2018-04,20
2018-05,20
2018-06,19
2018-07,18
