mes,freq
2004-01,34
2004-02,36
2004-03,47
2004-04,54
2004-05,37
2004-06,37
2004-07,33
2004-08,29
2004-09,27
2004-10,26
2004-11,22
2004-12,34
2005-01,23
2005-02,31
2005-03,44
2005-04,22
2005-05,25
2005-06,32
2005-07,49
2005-08,35
2005-09,26
2005-10,26
2005-11,28
2005-12,32
2006-01,22
2006-02,25
2006-03,34
2006-04,44
2006-05,29
2006-06,33
2006-07,41
2006-08,37
2006-09,34
2006-10,36
2006-11,33
2006-12,37
2007-01,38
2007-02,32
2007-03,42
2007-04,39
2007-05,35
2007-06,39
2007-07,40
2007-08,34
2007-09,30
2007-10,26
2007-11,27
2007-12,31
2008-01,29
2008-02,33
2008-03,47
2008-04,30
2008-05,35
2008-06,39
2008-07,41
2008-08,31
2008-09,31
2008-10,31
2008-11,29
2008-12,36
2009-01,31
2009-02,32
2009-03,43
2009-04,50
2009-05,36
2009-06,46
2009-07,49
2009-08,39
2009-09,34
2009-10,33
2009-11,31
2009-12,40
2010-01,34
2010-02,34
2010-03,52
2010-04,43
2010-05,42
2010-06,45
2010-07,48
2010-08,46
2010-09,36
2010-10,36
2010-11,34
2010-12,40
2011-01,34
2011-02,34
2011-03,44
2011-04,60
2011-05,43
2011-06,49
2011-07,51
2011-08,45
2011-09,41
2011-10,41
2011-11,40
2011-12,46
2012-01,40
2012-02,40
2012-03,65
2012-04,68
2012-05,57
2012-06,65
2012-07,73
2012-08,68
2012-09,62
2012-10,46
2012-11,46
2012-12,52
2013-01,56
2013-02,66
2013-03,76
2013-04,54
2013-05,58
2013-06,59
2013-07,65
2013-08,58
2013-09,52
2013-10,49
2013-11,45
2013-12,54
2014-01,43
2014-02,45
2014-03,59
2014-04,77
2014-05,59
2014-06,65
2014-07,67
2014-08,60
2014-09,54
2014-10,50
2014-11,54
2014-12,63
2015-01,50
2015-02,59
2015-03,79
2015-04,72
2015-05,70
2015-06,74
2015-07,79
2015-08,73
2015-09,69
2015-10,68
2015-11,66
2015-12,78
2016-01,66
2016-02,71
2016-03,97
2016-04,67
2016-05,77
2016-06,86
2016-07,81
2016-08,70
2016-09,71
2016-10,65
2016-11,65
2016-12,78
2017-01,62
2017-02,64
2017-03,79
2017-04,100
2017-05,76
2017-06,77
2017-07,90
2017-08,77
2017-09,68
2017-10,68
2017-11,68
2017-12,81
2018-01,65
2018-02,71
2018-03,98
2018-04,68
2018-05,79
2018-06,81
2018-07,80
